model,rb_acc,n_items_x,mean_z,Brainstorming,Figurative Language,Humor,Problem Solving,STEM,Story / Narrative,datasets,n_metric_obs,mean_z_intel,median_z,rank,agc_rank,aa_match_name,aa_match_conf,gpqa_diamond,hle,mmlu_pro_aa,math_500_aa,livecodebench_aa,aime_2025_aa,aime_2024_aa,scicode_aa,ifbench_aa,tau2_aa,mmmu_pro_aa,critpt_aa,intelligence_index_aa,math_index_aa,coding_index_aa,agentic_index_aa,hf_match_name,hf_match_conf,lb_match_name,lb_match_conf,zebra_match_name,zebra_match_conf,arc_agi_1,arc_agi_2,has_gpqa,has_hle,has_mmlu_pro,has_math500_or_aime,has_livecodebench,has_scicode,has_zebra,has_musr,has_bbh,has_arc_agi_2,has_intel_idx,has_math_idx,has_coding_idx,n_benchmarks_covered,lb_zebra_puzzle,lb_amps_hard,lb_olympiad,lb_math_comp,lb_web_of_lies,lb_code_generation,zebra_puzzle_acc,bbh_hf,musr_hf,math_lvl5_hf,mmlu_pro_hf,gpqa_hf,ifeval_hf,n_items_y,accuracy_strict,accuracy_parsed,mean_lev_to_D,n_errors,lsa_acc,model_underscore
anthropic/claude-opus-4.7,0.5290731145653426,1737,0.8035671974983681,0.9338169257514078,1.1028927789249698,1.08731860831238,0.918696099135414,0.5305607989874702,0.6211150530194849,79,387,0.53096325640156,0.4585675482306757,1,1,"Claude Opus 4.7 (Adaptive Reasoning, Max Effort)",exact,0.914,0.396,,,,,,0.545,0.586,0.886,,0.12,57.28,,52.51,71.29,,none,,none,,none,,,True,True,False,False,False,True,False,False,False,False,True,False,True,3,,,,,,,,,,,,,,500.0,0.3,0.3,7.738,0.0,0.3,anthropic_claude-opus-4.7
anthropic/claude-opus-4.5,0.5215889464594128,1737,0.5848014304237922,0.8303261354019638,0.8203402820191408,0.5757707779173553,0.6862141382085707,0.3235223402864449,0.576369716934283,79,387,0.4490513116463128,0.3940206730631254,3,6,Claude Opus 4.5 (Reasoning),exact,0.866,0.284,0.895,,0.871,0.913,,0.495,0.58,0.895,0.74,0.046,49.73,91.33,47.83,59.64,,none,claude-opus-4-5-20251101-thinking-64k-medium-effort,fuzzy(0.80),,none,0.357,0.086,True,True,True,True,True,True,True,False,False,True,True,True,True,8,83.75,98.0,88.805,92.157,,78.873,,,,,,,,500.0,0.536,0.536,1.402,0.0,0.536,anthropic_claude-opus-4.5
openai/gpt-5.5,0.5002878526194589,1737,0.7361094495275183,0.6897035709939773,0.642115772863246,0.858909016842068,0.7814440227392322,0.651645293522444,0.7489646307412124,68,351,0.4281592917375152,0.3856737606339446,5,13,GPT-5.5 (xhigh),exact,0.935,0.443,,,,,,0.561,0.759,0.939,0.799,0.271,60.24,,59.12,74.12,,none,gpt-5-mini,fuzzy(0.67),,none,,,True,True,False,False,False,True,True,False,False,False,True,False,True,4,41.0,98.0,78.295,89.216,,76.056,,,,,,,,500.0,0.646,0.646,4.022,0.0,0.646,openai_gpt-5.5
anthropic/claude-opus-4.6-fast,0.4979850316637881,1737,0.6632693631384353,0.905256863260323,1.3599382830093965,0.4321738437097202,0.2970149363221083,0.3152767495941206,0.7494092183644989,79,387,0.4066660052296516,0.3591775437823502,8,8,"Claude Opus 4.6 (Adaptive Reasoning, Max Effort)",fuzzy(0.80),0.896,0.367,,,,,,0.519,0.531,0.921,0.754,0.126,52.95,,48.09,67.58,,none,,none,,none,,,True,True,False,False,False,True,False,False,False,False,True,False,True,3,,,,,,,,,,,,,,500.0,0.162,0.498,14.6,0.0,0.498,anthropic_claude-opus-4.6-fast
moonshotai/kimi-k2.6,0.4881980426021877,1737,0.4898234540776453,0.8151893058904002,0.293724006048478,0.3304323865898492,0.5636125215110227,0.3195816067586157,0.6283842363615566,79,387,0.2134159072863375,0.1898410618399345,45,70,Kimi K2.6,exact,0.911,0.359,,,,,,0.535,0.76,0.959,0.794,0.08,53.9,,47.12,65.97,,none,kimi-k2-thinking,fuzzy(0.67),,none,,,True,True,False,False,False,True,True,False,False,False,True,False,True,4,46.25,96.0,80.305,96.078,,71.831,,,,,,,,500.0,0.086,0.086,11.066,0.0,0.086,moonshotai_kimi-k2.6
deepseek/deepseek-chat-v3-0324,0.4841681059297639,1737,0.0817611344568252,0.1663142139594196,0.1487312808478252,0.1470669948948539,-0.1231281309707038,-0.1523461990510698,0.2166423498225029,79,387,0.1113519989772605,0.2051496453439736,72,55,DeepSeek V3 0324,exact,0.655,0.052,0.819,0.942,0.405,0.41,0.52,0.358,0.41,0.471,,0.0,22.28,41.0,22.02,16.26,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,,500.0,0.344,0.368,5.402,0.0,0.368,deepseek_deepseek-chat-v3-0324
nex-agi/deepseek-v3.1-nex-n1,0.4841681059297639,1737,0.3214750766553327,0.2107662116185372,0.328728989711876,-0.1021620546279302,0.4213471086591538,0.53618185510225,0.3134725436162764,79,387,0.2678348045314392,0.315066689679805,35,48,,none,,,,,,,,,,,,,,,,,,none,,none,,none,,,False,False,False,False,False,False,False,False,False,False,False,False,False,0,,,,,,,,,,,,,,500.0,0.388,0.388,2.382,0.0,0.388,nex-agi_deepseek-v3.1-nex-n1
deepcogito/cogito-v2.1-671b,0.4835924006908463,1737,0.1448232604935073,0.3679283215064084,-0.1537076657536569,-0.1230148158082892,0.2941681041892452,-0.089489142193522,0.3805291538466016,79,387,-0.3774002363460491,0.0775922811702467,123,115,Cogito v2.1 (Reasoning),exact,0.768,0.11,0.849,,0.688,0.727,,0.41,0.463,,,0.0,,72.67,24.77,,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,False,True,True,6,,,,,,,,,,,,,,500.0,0.392,0.394,2.986,0.0,0.394,deepcogito_cogito-v2.1-671b
deepseek/deepseek-v3.2-exp,0.4830166954519286,1737,0.4654249766494132,0.5326975353685471,0.2092109202222468,0.4631390629884107,0.487090405722966,0.4540503089833558,0.5858656683792706,79,387,0.3040655928746792,0.3455036824745917,22,20,DeepSeek V3.2 Exp (Reasoning),exact,0.797,0.138,0.85,,0.789,0.877,,0.377,0.541,0.339,,0.014,32.94,87.67,33.28,28.73,,none,deepseek-v3.2-exp-thinking,exact,,none,,,True,True,True,True,True,True,True,False,False,False,True,True,True,7,30.25,96.0,82.424,92.157,,66.197,,,,,,,,500.0,0.388,0.388,2.52,0.0,0.388,deepseek_deepseek-v3.2-exp
moonshotai/kimi-k2.5,0.4807138744962579,1737,0.6350844920352339,0.8155187648616561,0.3682319342012359,0.5515932368413929,1.0187135127517877,0.3916462732193482,0.69540254090954,79,387,0.3277595217079996,0.3389166749144546,16,21,Kimi K2.5 (Reasoning),exact,0.879,0.294,,,,,,0.49,0.702,0.959,0.754,0.031,46.81,,39.55,58.94,,none,kimi-k2-thinking,fuzzy(0.67),,none,,,True,True,False,False,False,True,True,False,False,False,True,False,True,4,46.25,96.0,80.305,96.078,,71.831,,,,,,,,500.0,0.238,0.238,8.716,0.0,0.238,moonshotai_kimi-k2.5
anthropic/claude-opus-4.6,0.4772596430627518,1737,0.5789234520056282,0.8915435711083873,1.32499244564286,0.4837605346642277,0.2933167636770232,0.2979665894259646,0.4966587953557312,65,327,0.3905104242643387,0.3636900662668135,11,7,"Claude Opus 4.6 (Adaptive Reasoning, Max Effort)",exact,0.896,0.367,,,,,,0.519,0.531,0.921,0.754,0.126,52.95,,48.09,67.58,,none,,none,,none,,,True,True,False,False,False,True,False,False,False,False,True,False,True,3,,,,,,,,,,,,,,500.0,0.176,0.428,17.056,0.0,0.428,anthropic_claude-opus-4.6
deepseek/deepseek-v3.2,0.4761082325849165,1737,0.4199875946103751,0.3702282895586291,0.3121786802995969,0.4749392260004053,0.4730600219268675,0.243416613922,0.4735095223213122,79,387,0.3258247467266318,0.3522673099045296,17,15,DeepSeek V3.2 (Reasoning),exact,0.84,0.222,0.862,,0.862,0.92,,0.389,0.607,0.906,,0.029,41.71,92.0,36.7,52.92,,none,deepseek-v3.2-thinking,exact,,none,,,True,True,True,True,True,True,True,False,False,False,True,True,True,7,69.75,97.0,85.037,95.098,,66.197,,,,,,,,500.0,0.348,0.35,2.876,0.0,0.35,deepseek_deepseek-v3.2
deepseek/deepseek-v3.1-terminus,0.4755325273459988,1737,0.4439341422178308,0.5430869110640332,0.1230492014441428,0.5914343175975216,0.2652504990266696,0.4253349715995532,0.5990776492030655,79,387,0.3249176366279159,0.3337284813483921,18,16,DeepSeek V3.1 Terminus (Reasoning),exact,0.792,0.152,0.851,,0.798,0.897,,0.406,0.57,0.371,,0.017,33.93,89.67,33.74,29.77,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,,500.0,0.378,0.378,2.608,0.0,0.378,deepseek_deepseek-v3.1-terminus
z-ai/glm-5.1,0.4732297063903281,1737,0.7110996739435224,0.8558656932165879,1.0853975189597822,0.4966658464692105,0.4552324528549767,0.6497764713245777,0.7108912772154519,79,387,0.4377518151450843,0.4060909348317448,4,3,GLM-5.1 (Reasoning),exact,0.868,0.28,,,,,,0.438,0.763,0.977,,0.046,51.41,,43.37,67.05,,none,,none,,none,,,True,True,False,False,False,True,False,False,False,False,True,False,True,3,,,,,,,,,,,,,,500.0,0.31,0.31,7.866,0.0,0.31,z-ai_glm-5.1
