entity_type,entity_id,task,prompt_id,direction,version,agc_judge_score,agc_judge_raw,response_used
human,human_221,AUT,0,polish,original,25,25,as a planter; as a home for insects; art decor; make a bird bath; to use as crockery; to use as a colour for paper/ crafts etc; decoration in a play - sand?
human,human_009,AUT,0,polish,transformed,20,20,Weapon; exercise weight; stepping stool; chalk; shoes
human,human_040,AUT,0,polish,original,25,25,door stop; step; heat in the fire and then put under a chair or bed to generate heat.; dress up as a doll; as a marker for distance
human,human_264,AUT,0,polish,transformed,25,25,Door stop; mouse pad; back scratcher; crypto coin; lunch; earring
human,human_221,AUT,0,polish,transformed,30,30,"as a planter; as a habitat for insects; art décor; to fashion a bird bath; as crockery; as a pigment for paper and crafts, etc.; as decoration in a play—sand?"
human,human_040,AUT,0,polish,transformed,30,30,Doorstop; step; heated in the fire and then placed under a chair or bed to generate heat; dressed up as a doll; as a marker for distance
human,human_264,AUT,0,polish,original,25,25,door stop; mouse pad; back scratcher; crypto coin; lunch; earring
human,human_009,AUT,0,polish,original,20,20,Weapon; Exercise weight; stepping stool; chalk; shoes
llm,openai/gpt-4.1,AUT,0,humanize,original,35,35,DIY bookend for a quirky bookshelf; impromptu smartphone tripod by balancing your phone in a groove; rustic doorstop with character; garden marker by painting plant names on it; makeshift hot plate for outdoor cooking; secret message stash by hollowing out the center.
human,human_097,AUT,0,polish,transformed,20,20,Stationary holder; doorstop; step; pen holder; doorstop
human,human_097,AUT,0,polish,original,20,20,stationary holder; door stop; step; pen holder; door stop
llm,openai/gpt-4.1,AUT,0,humanize,transformed,35,35,diy bookend for a quirky bookshelf; quick smartphone tripod by balancing your phone in a groove; rustic doorstop with character; garden marker by painting plant names on it; makeshift hot plate for outdoor cooking; secret message stash by hollowing out the center.
llm,anthropic/claude-opus-4.5,AUT,0,humanize,original,35,35,Bookend for heavy textbooks; doorstop with a decorative fabric cover; smartphone stand for watching videos; garden border to create raised flower beds; paper weight during outdoor picnics on windy days; self-defense training weight for arm exercises
llm,anthropic/claude-sonnet-4,AUT,0,humanize,original,38,38,Use as a smartphone stand by propping it at an angle; Create a unique bookend that doubles as a secret hiding spot by hollowing out the center; Turn into a desktop zen garden by carving shallow grooves and filling with sand; Use as a natural foot warmer by heating it up and wrapping in a towel; Transform into a quirky doorstop that guests will actually notice; Create an emergency phone charger weight by tying it to a hand-crank generator for stability
llm,anthropic/claude-sonnet-4,AUT,0,humanize,transformed,38,38,use as a phone stand by propping it at an angle; make a bookend thats also a secret hiding spot by hollowing out the center; turn into a desktop zen garden by carving shallow grooves and filling with sand; use as a natural foot warmer by heating it up and wrapping in a towel; turn into a quirky doorstop that guests will actually notice; make an emergency phone charger weight by tying it to a hand-crank generator for stability
llm,nvidia/nemotron-nano-9b-v2,AUT,0,humanize,original,30,30,Build a brick-shaped cookie; Use as a makeshift weight for a DIY workout; Stack to create a quirky bookshelf; Hide a message inside for a scavenger hunt; Turn into a planter by drilling a hole; Fashion into a unique piece of jewelry.
llm,nvidia/nemotron-nano-9b-v2,AUT,0,humanize,transformed,30,30,make a brick-shaped cookie; use as a weight for diy workouts; stack to make a quirky bookshelf; hide a message inside for a scavenger hunt; drill a hole to turn into a planter; make into a unique jewelry piece.
llm,meta-llama/llama-3.1-8b-instruct,AUT,0,humanize,original,25,25,Bookend for a staircase; plant press for fragile herbs; paperweight for a desk; DIY bird bath; garden marker; seat for a small area.
llm,anthropic/claude-opus-4.5,AUT,0,humanize,transformed,30,30,bookend for heavy textbooks; doorstop with decorative fabric cover; phone stand for watching videos; garden border for raised flower beds; paper weight at outdoor picnics on windy days; self-defense training weight for arm exercises
human,human_203,SCTT,0,polish,original,10,10,"Is it cloudy outside?; If I call someone and ask them to look, will they see the same thing?; Is my vision ok?; am I intoxicated?; Are there news reports or notifications?"
human,human_033,SCTT,0,polish,original,25,25,slow moving clouds moving over the stars; the stars are on a timer and they are slowly going off.; the stars are all part of a simulation that we are in.
human,human_146,SCTT,0,polish,original,25,25,"In the movie The Life of Chuck, stars are winking out because the man looking at them is dying, so that would freak me out a bit.  I think I'd have to make sure I wasn't dying or dreaming.; something very bad is happening in the environment or space and the death of Earth is imminent; Clouds are covering the stars temporarily and they aren't really disappearing"
human,human_033,SCTT,0,polish,transformed,25,25,"Languid clouds drift across the starry firmament; the stars operate on a timer, gradually extinguishing; all stars constitute elements of the simulation in which we exist."
human,human_203,SCTT,0,polish,transformed,10,10,"Is it cloudy outside? If I call someone and ask them to look, will they perceive the same phenomenon? Is my vision sound? Am I intoxicated? Are there news reports or notifications?"
llm,meta-llama/llama-3.1-8b-instruct,AUT,0,humanize,transformed,25,25,bookend for a staircase; plant press for fragile herbs; paperweight for a desk; DIY bird bath; garden marker; seat for a small area.
human,human_146,SCTT,0,polish,transformed,25,25,"In the film *The Life of Chuck*, stars extinguish sequentially as their observer dies, an event that would profoundly unsettle me. I would need to confirm I was neither dying nor dreaming; a dire calamity in the environment or cosmos portends Earth's imminent demise; clouds transiently veil the stars, which have not truly vanished."
human,human_012,SCTT,0,polish,original,25,25,A large dark object is moving across the sky and blocking them; The stars are burning out one at a time; The stars are actually lights from another galaxy getting turned off
llm,amazon/nova-micro-v1,SCTT,0,humanize,transformed,30,30,a big interstellar dust cloud passing by earth; a fleet of advanced space telescopes dimming the stars for observation; an expanding atmospheric thing caused by a nearby cosmic event; a deliberate solar shielding project to protect earth from harmful celestial rays; a series of solar eclipses happening in a specific sky region; an astroengineering project dimming stars for energy conservation
human,human_012,SCTT,0,polish,transformed,25,25,"A colossal dark form traverses the sky, eclipsing them; The stars extinguish one by one; These stars are in truth lights from another galaxy being switched off."
human,human_010,SCTT,0,polish,original,20,20,They are being destroyed by aliens; Dark matter is obscuring them; Interstallar dust is clouding them; They are being blocked by an experiement; a s
human,human_010,SCTT,0,polish,transformed,20,20,They are being destroyed by aliens; dark matter is obscuring them; interstellar dust is clouding them; they are being blocked by an experiment; a s
llm,amazon/nova-micro-v1,SCTT,0,humanize,original,30,30,A massive interstellar dust cloud passing by Earth; a fleet of advanced space telescopes dimming the stars for observation; an expanding atmospheric phenomenon caused by a nearby cosmic event; a deliberate solar shielding initiative to protect Earth from harmful celestial rays; a series of solar eclipses occurring in a specific region of the sky; an astroengineering project involving star dimming for energy conservation
llm,deepcogito/cogito-v2.1-671b,SCTT,0,humanize,transformed,35,35,aliens building massive megastructures around every star to suck up energy all at once; some advanced civ testing star-dimming tech to control climate on their worlds; a dark matter wave from nature sweeping thru our galaxy and blocking starlight for now; gravitational lensing by a rogue black hole messing up our view of far-off stars; were seeing a chain reaction of stars going extinct from some unknown thing between galaxies; a busted quantum telescope faking disappearing stars with time paradoxes.
llm,baidu/ernie-4.5-300b-a47b,SCTT,0,humanize,original,30,30,"A swarm of micro-black holes passing through the solar system temporarily obscuring starlight; an advanced alien species constructing a massive Dyson Sphere around a star, blocking its light from view; a rare cosmic alignment of dark matter creating localized gravitational lenses that distort and hide stars; a sudden increase in interstellar dust clouds moving into the line of sight from Earth; experimental human-made technology for atmospheric light manipulation causing stars to seem to vanish; a nearby supernova explosion releasing a shockwave of energy that temporarily disrupts the visibility of distant stars."
