entity,entity_type,task,prompt,response,v5_2c_score
human_048,human,AUT,BRICK,Rustic paperweight; Boho door stop; Visual for class about updating your devices in a timely fashion; Visual when explaining to one's parents why they cannot activate their HTC hero,25.0
human_048,human,AUT,KNIFE,Edgy back pocket accessory; Can opener with free visit to urgent care; Use as a stak for outdoor christmas lights,25.0
human_048,human,AUT,PENCIL,Birthday gift for the minimalist who has nothing; Chew toy for an annoying dog; Nose ring grunge Resurgence,30.0
human_048,human,AUT,BUCKET,Dual vomit or flip n sit addition to any home; Vintage champagne bucket,25.0
human_048,human,AUT,SOCK,For use as a filter on a vacuum cleaner when wanting to retrieve something precious; You see a sock with a hole in it I see one half of a cool wristband; One time cleaning rag for especially foul situations,25.0
human_048,human,SCTT,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,A slow moving storm system is entering the area; I am experiencing a rare food allergy that affects my vision; It is simply the time for these stars as all stars eventually die,25.0
human_048,human,SCTT,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,The water in the warmer lake is more shallow due to a large amount of cars at the bottom; The warmer lake is due to kids urinating in the water,20.0
human_048,human,SCTT,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,Do you have the capacity for boredom?; Was the robot programmed for this or did the robot exceed its limitations on its own accord?,25.0
human_048,human,SCTT,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,How's the water?; How is the outside temperature?; How close are we to the sun?; How much oxygen are we talking about in this atmosphere?; What's for dinner?; What is the Wi-Fi password here?; Is anyone else inhabiting,10.0
human_048,human,SCTT,You travel to a remote island and find people that do not communicate verbally. What scientific questions could you ask about the people of the island?,Years ago there was a shipwreck involving monks who had taken a vowel of silence; Could there be dominant gene for deafness,20.0
human_048,human,Design,Develop a design idea to assist people with memory impairments remember important tasks.,Electric shock collar with remote; Biodegradable Post-It notes that stand up to shower steam; Digital photo book with words and illustrations; Reward dispenser,20.0
human_048,human,Design,Develop a design idea to help people with mobility impairments navigate stairs.,Digital voice assistant guides every step and offers reassuring commentary; A just in case stair chair pops out at the push of a button; A trained,25.0
human_048,human,Design,Develop a design idea to reduce traffic congestion in mega cities.,Bus passes mailed to every resident; Put apartment buildings in the middle of all major roads,20.0
human_048,human,Design,Develop a design idea to increase the use of renewable energy sources.,Free puppy with every windmill; A device that shuts every other transformer in a major city; Taylor Swift record that only plays on wind powered devices,20.0
human_048,human,Design,Develop a design idea to improve access to clean water in remote areas.,Robot army delivers fresh water to remote areas; Filtration system that runs on invasive weeds,35.0
human_048,human,Story,"pen, paper, story","a paper hat drifted down the street on a windy day. nearby a pen of sheep bah'd to each other. i stopped and looked around. i wondered, did i write down the address properly? i looked around for the waffle house but only saw more sheep",30.0
