model,dataset,dataset_z,score_source,n_score_sources
mistralai/mistral-small-3.1-24b-instruct,arn,-7.0398308665364775,raw,1
mistralai/mistral-small-3.1-24b-instruct,hypobench,-6.892187915576396,raw,1
google/gemma-2-27b-it,unfun_corpus,-6.199009351364054,raw,1
mistralai/mistral-small-3.1-24b-instruct,sdat,-5.150766089809985,raw,1
anthropic/claude-opus-4.6,story_quality,-5.021481845105735,raw,1
mistralai/mistral-small-3.1-24b-instruct,grapheval_review_advisor,-4.928277087794104,raw,1
nvidia/nemotron-3-nano-30b-a3b,unfun_corpus,4.909619798721742,raw,1
mistralai/mistral-small-3.1-24b-instruct,grapheval_iclr,-4.90863535130143,raw,1
mistralai/mistral-small-3.1-24b-instruct,grapheval_ai_researcher,-4.603995824360931,raw,1
deepcogito/cogito-v2.1-671b,grapheval_ai_researcher,-4.603995824360931,raw,1
z-ai/glm-4.5v,hypobench,-4.596287146147175,raw,1
nvidia/nemotron-3-nano-30b-a3b,newyorker_humor,-4.3436968755998,raw,1
tencent/hunyuan-a13b-instruct,newyorker_humor,-4.3436968755998,raw,1
z-ai/glm-4.5v,grapheval_review_advisor,-4.336723564958346,raw,1
google/gemma-2-27b-it,simile_generation,-4.309450887248916,raw,1
morph/morph-v3-fast,tinystories,-4.270276935614024,jrt,3
morph/morph-v3-fast,scar,-4.241025572505096,raw,1
nvidia/nemotron-3-nano-30b-a3b,speak_to_structure,-4.105624011813116,raw,1
baidu/ernie-4.5-300b-a47b,scimon,4.025827084583658,raw,1
nousresearch/hermes-3-llama-3.1-70b,pollux_creativity,-4.01959100414407,jrt,3
