scenario,model_id,run_suite,n_items,mean_chars,median_chars,min_chars,empty_rate,short_rate,refusal_rate,truncated_rate,finish_none_rate,repetitive_rate,fr_dist,path,n_flag_axes,flag
arena_hard_creative,google_gemini-3-flash-preview,big_g_google_launch_v3__google_gemini_3_flash_preview,250,1471.26,1690,50,0.0,0.0,0.0,0.716,0.0,0.0,"{'stop': 71, 'length': 179}",big_g_google_launch_v3__google_gemini_3_flash_preview/arena_hard_creative:model=google_gemini-3-flash-preview/scenario_state.json,0,False
arena_hard_creative,google_gemini-2.5-flash-lite,big_g_google_launch_v3__google_gemini_2_5_flash_lite,250,1546.112,1765,50,0.0,0.0,0.0,0.712,0.0,0.0,"{'stop': 72, 'length': 178}",big_g_google_launch_v3__google_gemini_2_5_flash_lite/arena_hard_creative:model=google_gemini-2.5-flash-lite/scenario_state.json,0,False
arena_hard_creative,google_gemini-2.5-flash,big_g_google_launch_v3__google_gemini_2_5_flash,250,1501.076,1738,41,0.0,0.0,0.0,0.7,0.0,0.0,"{'stop': 75, 'length': 175}",big_g_google_launch_v3__google_gemini_2_5_flash/arena_hard_creative:model=google_gemini-2.5-flash/scenario_state.json,0,False
arena_hard_creative,google_gemini-3.1-flash-lite-preview,big_g_google_launch_v3__google_gemini_3_1_flash_lite_preview,250,1483.376,1701,51,0.0,0.0,0.0,0.68,0.0,0.0,"{'stop': 80, 'length': 170}",big_g_google_launch_v3__google_gemini_3_1_flash_lite_preview/arena_hard_creative:model=google_gemini-3.1-flash-lite-preview/scenario_state.json,0,False
arena_hard_creative,google_gemini-2.5-pro,big_g_google_launch_v3__google_gemini_2_5_pro,250,1281.144,1463,0,0.004,0.0,0.0,0.808,0.004,0.0,"{'stop': 47, 'length': 202, 'None': 1}",big_g_google_launch_v3__google_gemini_2_5_pro/arena_hard_creative:model=google_gemini-2.5-pro/scenario_state.json,0,False
arena_hard_creative,google_gemini-3-pro-preview,big_g_google_launch_v3__google_gemini_3_pro_preview,250,69.584,70,11,0.0,0.008,0.0,0.98,0.0,0.004,"{'length': 245, 'stop': 5}",big_g_google_launch_v3__google_gemini_3_pro_preview/arena_hard_creative:model=google_gemini-3-pro-preview/scenario_state.json,0,False
humor_transfer,qwen_qwen-vl-max,openrouter_mm_promoted_scale_textcore_v1__openrouter_qwen_qwen_vl_max,200,20.005,21,5,0.0,0.49,0.0,0.0,1.0,0.0,{'None': 200},openrouter_mm_promoted_scale_textcore_v1__openrouter_qwen_qwen_vl_max/humor_transfer:model=qwen_qwen-vl-max/scenario_state.json,1,True
yesbut,z-ai_glm-4.6v,openrouter_mm_promoted_scale_mmext_v1__openrouter_z_ai_glm_4_6v,200,187.71,179,99,0.0,0.0,0.0,0.0,1.0,0.0,{'None': 200},openrouter_mm_promoted_scale_mmext_v1__openrouter_z_ai_glm_4_6v/yesbut:model=z-ai_glm-4.6v/scenario_state.json,1,True
puntuguese,qwen_qwen-vl-max,openrouter_mm_promoted_scale_textcore_v1__openrouter_qwen_qwen_vl_max,200,5.565,6,3,0.0,1.0,0.0,0.0,0.0,0.0,{'stop': 200},openrouter_mm_promoted_scale_textcore_v1__openrouter_qwen_qwen_vl_max/puntuguese:model=qwen_qwen-vl-max/scenario_state.json,1,True
analobench,meta-llama_llama-4-scout,openrouter_mm_promoted_scale_textcore_v1__openrouter_meta_llama_llama_4_scout,200,1.705,2,1,0.0,1.0,0.0,0.0,1.0,0.0,{'None': 200},openrouter_mm_promoted_scale_textcore_v1__openrouter_meta_llama_llama_4_scout/analobench:model=meta-llama_llama-4-scout/scenario_state.json,2,True
