model,dataset,n_items,mean_chars,median_chars,empty_rate,short_rate,refusal_rate,repetitive_rate,issue,path
anthropic/claude-opus-4.7,outline_to_story,50,1425.16,1499,0.36,0.0,0.0,0.0,empty 36%,modal_phase1c_n50/outline_to_story:model=anthropic_claude-opus-4.7/scenario_state.json
deepcogito/cogito-v2.1-671b,analobench,50,0.68,1,0.32,0.68,0.0,0.0,empty 32%,modal_phase1c_n50/analobench:model=deepcogito_cogito-v2.1-671b/scenario_state.json
deepcogito/cogito-v2.1-671b,conceptual_design,12,377.0,0,0.9166666666666666,0.0,0.0,0.0,empty 92%,modal_phase1c_n50/conceptual_design:model=deepcogito_cogito-v2.1-671b/scenario_state.json
deepcogito/cogito-v2.1-671b,cpers,50,12.0,0,0.84,0.0,0.0,0.0,empty 84%,modal_phase1c_n50/cpers:model=deepcogito_cogito-v2.1-671b/scenario_state.json
deepcogito/cogito-v2.1-671b,grapheval_ai_researcher,9,0.0,0,1.0,0.0,0.0,0.0,empty 100%,modal_phase1c_n50/grapheval_ai_researcher:model=deepcogito_cogito-v2.1-671b/scenario_state.json
deepcogito/cogito-v2.1-671b,grapheval_review_advisor,50,25.78,32,0.32,0.0,0.0,0.0,empty 32%,modal_phase1c_n50/grapheval_review_advisor:model=deepcogito_cogito-v2.1-671b/scenario_state.json
deepseek/deepseek-v3.2,fig_qa,200,1.77,1,0.465,0.53,0.0,0.0,empty 46%,openrouter_text_promoted_scale_v1__openrouter_deepseek_deepseek_v3_2_speciale/fig_qa:model=deepseek_deepseek-v3.2-speciale/scenario_state.json
google/gemma-2-27b-it,analobench,50,0.0,0,1.0,0.0,0.0,0.0,empty 100%,modal_phase1c_n50/analobench:model=google_gemma-2-27b-it/scenario_state.json
google/gemma-2-27b-it,chinese_homophonic_puns,50,0.0,0,1.0,0.0,0.0,0.0,empty 100%,modal_phase1c_n50/chinese_homophonic_puns:model=google_gemma-2-27b-it/scenario_state.json
google/gemma-2-27b-it,futuregen,50,0.0,0,1.0,0.0,0.0,0.0,empty 100%,modal_phase1c_n50/futuregen:model=google_gemma-2-27b-it/scenario_state.json
google/gemma-2-27b-it,historical_analogy,20,0.0,0,1.0,0.0,0.0,0.0,empty 100%,modal_phase1c_n50/historical_analogy:model=google_gemma-2-27b-it/scenario_state.json
google/gemma-2-27b-it,humor_transfer,50,0.0,0,1.0,0.0,0.0,0.0,empty 100%,modal_phase1c_n50/humor_transfer:model=google_gemma-2-27b-it/scenario_state.json
google/gemma-2-27b-it,lcc_metaphor,50,0.0,0,1.0,0.0,0.0,0.0,empty 100%,modal_phase1c_n50/lcc_metaphor:model=google_gemma-2-27b-it/scenario_state.json
google/gemma-2-27b-it,metaphor_generation,50,0.72,0,0.98,0.0,0.0,0.0,empty 98%,modal_phase1c_n50/metaphor_generation:model=google_gemma-2-27b-it/scenario_state.json
google/gemma-2-27b-it,moh_x,50,0.0,0,1.0,0.0,0.0,0.0,empty 100%,modal_phase1c_n50/moh_x:model=google_gemma-2-27b-it/scenario_state.json
google/gemma-2-27b-it,munch,50,0.04,0,0.96,0.04,0.0,0.0,empty 96%,modal_phase1c_n50/munch:model=google_gemma-2-27b-it/scenario_state.json
google/gemma-2-27b-it,science_analogies,50,0.0,0,1.0,0.0,0.0,0.0,empty 100%,modal_phase1c_n50/science_analogies:model=google_gemma-2-27b-it/scenario_state.json
google/gemma-2-27b-it,scimon,50,0.0,0,1.0,0.0,0.0,0.0,empty 100%,modal_phase1c_n50/scimon:model=google_gemma-2-27b-it/scenario_state.json
google/gemma-2-27b-it,showerthoughts,50,0.0,0,1.0,0.0,0.0,0.0,empty 100%,modal_phase1c_n50/showerthoughts:model=google_gemma-2-27b-it/scenario_state.json
google/gemma-2-27b-it,simile_generation,50,0.0,0,1.0,0.0,0.0,0.0,empty 100%,modal_phase1c_n50/simile_generation:model=google_gemma-2-27b-it/scenario_state.json
google/gemma-2-27b-it,unfun_corpus,50,0.0,0,1.0,0.0,0.0,0.0,empty 100%,modal_phase1c_n50/unfun_corpus:model=google_gemma-2-27b-it/scenario_state.json
google/gemma-3-27b-it,analobench,50,1.36,1,0.42,0.56,0.0,0.0,empty 42%,modal_phase1c_n50/analobench:model=google_gemma-3-27b-it/scenario_state.json
