benchmark_id,display_name,source_paper_url,source_repo,domain,modality,scoring_metric,license,onboarded
analobench,AnaloBench,https://arxiv.org/abs/2402.12370,https://github.com/jhu-clsp/AnaloBench,Brainstorming,text->text,accuracy|parsed_option_rate|irrelevant_rate,Unknown,true
arastories,AraStories,https://arxiv.org/abs/2407.07551,https://github.com/UBC-NLP/arastories,Literary and Narrative,text->text,fluency|coherence|following_instructions|consistency|variety,Unknown,true
arena_hard_creative,Arena Hard Creative,https://arxiv.org/abs/2406.11939,https://github.com/lmarena/arena-hard-auto,Literary and Narrative,text->text,win_rate,Apache-2.0,true
arn,ARN (Analogical Reasoning Network),https://arxiv.org/abs/2310.00996,,Problem Solving,text->text,exact_match,Unknown,true
artinsight,ArtInsight,https://arxiv.org/abs/2502.19263,https://github.com/makeabilitylab/ArtInsight,Unassigned,image+text->text,artinsight_score|artinsight_presumptive_score|artinsight_reductive_score|artinsight_detail_score|artinsight_elements_score|artinsight_misc_deduction,MIT,true
banner_request_400,Banner Request 400,https://arxiv.org/abs/2503.11060,https://github.com/sony/BannerAgency,Unassigned,image+text->image,banner_request_400_score|banner_request_400_taa|banner_request_400_lps|banner_request_400_aqs|banner_request_400_ctae|banner_request_400_cpyq|banner_request_400_bis|banner_request_400_blueprint_validity|banner_request_400_render_success|banner_request_400_valid_judge_rate,MIT,true
brainteaser,BrainTeaser,https://arxiv.org/abs/2310.05057,https://github.com/1171-jpg/BrainTeaser,Problem Solving,text->text,exact_match,Unknown,true
c3_crosstalk,C3 Crosstalk Generation,https://arxiv.org/abs/2207.00735,https://github.com/FreedomIntelligence/crosstalk-generation,Humor,text->text,bleu_1|bleu_2|bleu_4|gleu|rouge_1|rouge_2|rouge_l|distinct_1|distinct_2,Apache-2.0,true
chinese_homophonic_puns,Chinese Homophonic Puns,https://arxiv.org/abs/2405.15818,https://github.com/YesianRohn/DuanzAI,Humor,text->text,exact_match_accuracy|similar_match_accuracy,Unknown,true
conceptual_design,Conceptual Design,https://arxiv.org/abs/2306.01779,https://github.com/kevinma1515/gpt_idetc,Visual and Design,text->text,rouge_l|llm_judge_quality,Unknown,true
cpers,CPERS,https://arxiv.org/abs/2509.18401,,Literary and Narrative,text->text,bleu_4|rouge_l|llm_judge_quality,Unknown,true
creation_mmbench,Creation-MMBench,https://arxiv.org/abs/2503.14478,https://github.com/open-compass/Creation-MMBench,Unassigned,image+text->text,llm_judge_quality,Unknown,true
creatset,CrEval / CrEatSet,https://arxiv.org/abs/2505.19236,https://github.com/Aman-4-Real/CrEval,Literary and Narrative,text->text,bleu_4|rouge_l|llm_judge_creativity,MIT,true
crowd_vote,CrowdVote,https://arxiv.org/abs/2509.09702,,Literary and Narrative,text->text,llm_judge_quality,Unknown,true
cue_word_story,Cue Word Story Generation,https://arxiv.org/abs/2411.02316,https://github.com/mismayil/creative-story-gen,Brainstorming,text->text,exact_match|quasi_exact_match|f1_score|bleu_4|rouge_l|bleu_1|cue_word_story_cue_word_coverage|cue_word_story_all_cue_words_rate|cue_word_story_five_sentence_rate|cue_word_story_boring_theme_overlap|cue_word_story_ngram_diversity|cue_word_story_novelty|cue_word_story_surprise|llm_judge_creativity|llm_judge_originality|llm_judge_surprise|llm_judge_effectiveness,Unknown,true
data_narrative,DataNarrative,https://arxiv.org/abs/2408.05346,https://github.com/saidul-islam98/DataNarrative,Literary and Narrative,text->text,bleu_4|bert_score|data_narrative_relevance|data_narrative_clarity_coherence|data_narrative_informativeness|data_narrative_narrative_quality|data_narrative_factual_correctness,Unknown,true
eqbench_creative_writing_v3,EQBench Creative Writing v3,https://eqbench.com/creative_writing.html,https://github.com/EQ-bench/creative-writing-bench,Literary and Narrative,text->text,elo_rating|rubric_score,Unknown,true
esp_dataset,ESP Dataset (Esper),https://openaccess.thecvf.com/content/CVPR2023/html/Yu_Fusing_Pre-Trained_Language_Models_With_Multimodal_Prompts_Through_Reinforcement_Learning_CVPR_2023_paper.html,https://github.com/JiwanChung/esper,Unassigned,image+text->text,bleu_4|meteor|cider,Unknown,true
fann_or_flop,Fann or Flop,https://arxiv.org/abs/2505.18152,https://github.com/mbzuai-oryx/FannOrFlop,Unassigned,text->text,exact_match|quasi_exact_match|f1_score|rouge_l|bleu_1|bleu_4,Unknown,true
