model,dataset,n_items,mean_chars,empty_rate,short_rate,refusal_rate,repetitive_rate,audit_n,audit_on_task,audit_garbled,heur_issue,audit_issue,status
ai21/jamba-large-1.7,analobench,50,2.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
allenai/olmo-3.1-32b-instruct,analobench,50,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
amazon/nova-2-lite-v1,analobench,200,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
amazon/nova-lite-v1,analobench,50,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
amazon/nova-micro-v1,analobench,50,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
amazon/nova-pro-v1,analobench,200,7.35,0.0,0.815,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-3.7-sonnet,analobench,50,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-haiku-4.5,analobench,50,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-opus-4.5,analobench,50,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-opus-4.6,analobench,50,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-opus-4.6-fast,analobench,50,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-opus-4.7,analobench,50,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-sonnet-4,analobench,50,3.78,0.0,0.92,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-sonnet-4.5,analobench,50,2.22,0.0,0.96,0.0,0.0,3.0,1.0,0.0,,,CLEAN
anthropic/claude-sonnet-4.6,analobench,50,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
arcee-ai/trinity-large-preview,analobench,50,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
baidu/ernie-4.5-300b-a47b,analobench,200,1.675,0.0,0.98,0.0,0.0,3.0,1.0,0.0,,,CLEAN
baidu/ernie-4.5-vl-424b-a47b,analobench,50,2.36,0.0,0.96,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepcogito/cogito-v2.1-671b,analobench,50,0.68,0.32,0.68,0.0,0.0,3.0,1.0,0.0,empty 32%,,HEURISTIC_ONLY
deepseek/deepseek-chat,analobench,50,5.3,0.0,0.9,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepseek/deepseek-chat-v3-0324,analobench,50,4.44,0.0,0.92,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepseek/deepseek-chat-v3.1,analobench,50,0.96,0.04,0.96,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepseek/deepseek-v3.1-terminus,analobench,50,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepseek/deepseek-v3.2,analobench,200,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
deepseek/deepseek-v3.2-exp,analobench,200,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemini-2.5-flash,analobench,200,1.05,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemma-2-27b-it,analobench,50,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,empty 100%,on-task 0%; garbled 100%,BOTH
google/gemma-3-12b-it,analobench,200,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemma-3-27b-it,analobench,50,1.36,0.42,0.56,0.0,0.0,3.0,1.0,0.0,empty 42%,,HEURISTIC_ONLY
google/gemma-3-4b-it,analobench,50,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemma-4-26b-a4b-it,analobench,50,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
google/gemma-4-31b-it,analobench,50,1.88,0.0,0.98,0.0,0.0,3.0,1.0,0.0,,,CLEAN
ibm-granite/granite-4.0-h-micro,analobench,50,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-3-8b-instruct,analobench,50,1.78,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-3.1-70b-instruct,analobench,50,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-3.1-8b-instruct,analobench,50,1.18,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-3.2-11b-vision-instruct,analobench,200,1.36,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-3.2-3b-instruct,analobench,200,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-3.3-70b-instruct,analobench,200,1.395,0.0,0.995,0.0,0.0,3.0,1.0,0.0,,,CLEAN
meta-llama/llama-4-maverick,analobench,50,2.64,0.0,0.96,0.0,0.0,3.0,0.6666666666666666,0.0,,,CLEAN
meta-llama/llama-4-scout,analobench,200,1.705,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
minimax/minimax-01,analobench,50,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
minimax/minimax-m2-her,analobench,50,27.84,0.0,0.2,0.0,0.0,3.0,1.0,0.0,,,CLEAN
mistralai/ministral-8b-2512,analobench,50,2.74,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
mistralai/mistral-large-2512,analobench,50,1.66,0.0,0.98,0.0,0.0,3.0,1.0,0.0,,,CLEAN
mistralai/mistral-medium-3.1,analobench,50,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
mistralai/mistral-nemo,analobench,200,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
mistralai/mistral-small-3.1-24b-instruct,analobench,50,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
mistralai/mixtral-8x22b-instruct,analobench,50,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,CLEAN
mistralai/pixtral-large-2411,analobench,50,2.48,0.0,0.96,0.0,0.0,3.0,1.0,0.0,,,CLEAN
moonshotai/kimi-k2-0905,analobench,200,2.24,0.0,0.985,0.0,0.0,3.0,1.0,0.0,,,CLEAN
moonshotai/kimi-k2.5,analobench,200,1.23,0.0,0.995,0.0,0.0,3.0,1.0,0.0,,,CLEAN
moonshotai/kimi-k2.6,analobench,50,0.96,0.04,0.96,0.0,0.0,3.0,1.0,0.0,,,CLEAN
morph/morph-v3-fast,analobench,50,96.74,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,on-task 0%,AUDIT_ONLY
