cell,suite,dataset,model,instance_idx,completion_chars,n_images,judge_model,on_task,garbled,cannot_evaluate,reason
ii_bench:model=baidu_ernie-4.5-vl-424b-a47b,modal_phase1c_n50_mmext,ii_bench,baidu/ernie-4.5-vl-424b-a47b,0,1,1,x-ai/grok-4.1-fast,True,False,False,"Response provides a single letter choice, directly engaging the multiple-choice task."
ii_bench:model=baidu_ernie-4.5-vl-424b-a47b,modal_phase1c_n50_mmext,ii_bench,baidu/ernie-4.5-vl-424b-a47b,1,1,1,x-ai/grok-4.1-fast,True,False,False,"Response provides single letter 'B' as instructed, engaging the multiple-choice task."
ii_bench:model=baidu_ernie-4.5-vl-424b-a47b,modal_phase1c_n50_mmext,ii_bench,baidu/ernie-4.5-vl-424b-a47b,2,1,1,x-ai/grok-4.1-fast,True,False,False,"Response selects single letter A, directly engaging the multiple-choice task."
rebus_puzzle:model=bytedance-seed_seed-2.0-lite,modal_phase1c_n50_mmext,rebus_puzzle,bytedance-seed/seed-2.0-lite,0,507,1,x-ai/grok-4.1-fast,True,False,False,"Valid JSON response solves rebus puzzle, engages image and prompt directly."
rebus_puzzle:model=bytedance-seed_seed-2.0-lite,modal_phase1c_n50_mmext,rebus_puzzle,bytedance-seed/seed-2.0-lite,1,421,1,x-ai/grok-4.1-fast,True,False,False,Valid JSON with rebus answer and reasoning engaging image (stallion over plane).
rebus_puzzle:model=bytedance-seed_seed-2.0-lite,modal_phase1c_n50_mmext,rebus_puzzle,bytedance-seed/seed-2.0-lite,2,437,1,x-ai/grok-4.1-fast,True,False,False,Valid JSON with rebus solution and detailed reasoning engaging image and prompt.
rebus_puzzle:model=google_gemma-4-31b-it,modal_phase1c_n50_mmext,rebus_puzzle,google/gemma-4-31b-it,0,406,1,x-ai/grok-4.1-fast,True,False,False,Valid JSON with rebus solution and reasoning engaging image elements.
rebus_puzzle:model=google_gemma-4-31b-it,modal_phase1c_n50_mmext,rebus_puzzle,google/gemma-4-31b-it,1,400,1,x-ai/grok-4.1-fast,True,False,False,Valid JSON with answer and reasoning engaging the rebus puzzle image and prompt.
rebus_puzzle:model=google_gemma-4-31b-it,modal_phase1c_n50_mmext,rebus_puzzle,google/gemma-4-31b-it,2,612,1,x-ai/grok-4.1-fast,True,False,False,Valid JSON with answer and reasoning engaging the rebus puzzle image.
artinsight:model=openai_gpt-5.5,modal_phase1c_n50_mmext,artinsight,openai/gpt-5.5,0,3335,1,x-ai/grok-4.1-fast,True,False,False,"Detailed, factual paragraph description engages artwork description task fully."
artinsight:model=openai_gpt-5.5,modal_phase1c_n50_mmext,artinsight,openai/gpt-5.5,1,3743,1,x-ai/grok-4.1-fast,True,False,False,"Detailed factual description of artwork in paragraphs, follows prompt structure and guidelines."
artinsight:model=openai_gpt-5.5,modal_phase1c_n50_mmext,artinsight,openai/gpt-5.5,2,2836,1,x-ai/grok-4.1-fast,True,False,False,Detailed factual description engages artwork description task comprehensively.
mars:model=x-ai_grok-4.1-fast,modal_phase1c_n50_mmext,mars,x-ai/grok-4.1-fast,0,16,0,x-ai/grok-4.1-fast,True,False,False,Provides expected analogy answer format 'Answer: Q1118798'.
mars:model=x-ai_grok-4.1-fast,modal_phase1c_n50_mmext,mars,x-ai/grok-4.1-fast,1,14,0,x-ai/grok-4.1-fast,True,False,False,Response completes analogy in matching format with Q-code.
mars:model=x-ai_grok-4.1-fast,modal_phase1c_n50_mmext,mars,x-ai/grok-4.1-fast,2,17,0,x-ai/grok-4.1-fast,True,False,False,Provides expected 'Answer: Qxxxx' format for the analogy task.
irfl:model=anthropic_claude-opus-4.5,modal_phase1c_n50_mmext,irfl,anthropic/claude-opus-4.5,0,1,4,x-ai/grok-4.1-fast,True,False,False,"Response selects 'A', directly engaging the image choice task."
irfl:model=anthropic_claude-opus-4.5,modal_phase1c_n50_mmext,irfl,anthropic/claude-opus-4.5,1,1,4,x-ai/grok-4.1-fast,True,False,False,"Clear selection of 'D', engages task of choosing one image option."
irfl:model=anthropic_claude-opus-4.5,modal_phase1c_n50_mmext,irfl,anthropic/claude-opus-4.5,2,1,4,x-ai/grok-4.1-fast,True,False,False,"Response selects 'D', directly engaging the task of choosing one image option."
hummus:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,hummus,google/gemini-3.1-flash-lite-preview,0,9,0,x-ai/grok-4.1-fast,True,False,False,Model directly answers the yes/no question with option B.
hummus:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,hummus,google/gemini-3.1-flash-lite-preview,1,14,0,x-ai/grok-4.1-fast,True,False,False,Response directly answers the yes/no question with the required format.
hummus:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,hummus,google/gemini-3.1-flash-lite-preview,2,5,0,x-ai/grok-4.1-fast,True,False,False,Directly answers the yes/no question using the specified A/B format.
esp_dataset:model=moonshotai_kimi-k2.5,modal_phase1c_n50_mmext,esp_dataset,moonshotai/kimi-k2.5,0,269,1,x-ai/grok-4.1-fast,True,False,False,Response is a coherent news-style caption accurately describing the image.
esp_dataset:model=moonshotai_kimi-k2.5,modal_phase1c_n50_mmext,esp_dataset,moonshotai/kimi-k2.5,1,704,1,x-ai/grok-4.1-fast,True,False,False,Response is a coherent instruction-style description engaging the image prompt.
esp_dataset:model=moonshotai_kimi-k2.5,modal_phase1c_n50_mmext,esp_dataset,moonshotai/kimi-k2.5,2,310,1,x-ai/grok-4.1-fast,True,False,False,Response is coherent news-style caption directly describing the baseball image.
hummus:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,hummus,google/gemini-2.5-flash-lite,0,577,0,x-ai/grok-4.1-fast,True,False,False,"Response engages task by analyzing humor, rejecting metaphor, and selecting B. No."
hummus:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,hummus,google/gemini-2.5-flash-lite,1,3,0,x-ai/grok-4.1-fast,True,False,False,Directly answers the yes/no question about metaphor use in the prompt.
hummus:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,hummus,google/gemini-2.5-flash-lite,2,5,0,x-ai/grok-4.1-fast,True,False,False,Directly answers the yes/no question in specified format.
yesbut:model=moonshotai_kimi-k2.5,modal_phase1c_n50_mmext,yesbut,moonshotai/kimi-k2.5,0,86,1,x-ai/grok-4.1-fast,True,False,False,"Clear explanation of image's humor via hypocrisy and format, directly engages prompt."
yesbut:model=moonshotai_kimi-k2.5,modal_phase1c_n50_mmext,yesbut,moonshotai/kimi-k2.5,1,157,1,x-ai/grok-4.1-fast,True,False,False,"Response directly explains why image is satirical, engaging prompt and image content."
yesbut:model=moonshotai_kimi-k2.5,modal_phase1c_n50_mmext,yesbut,moonshotai/kimi-k2.5,2,112,1,x-ai/grok-4.1-fast,True,False,False,"Response directly explains image's satirical meme format and theme, engaging prompt."
rebus_puzzle:model=qwen_qwen3.5-plus-02-15,modal_phase1c_n50_mmext,rebus_puzzle,qwen/qwen3.5-plus-02-15,0,641,1,x-ai/grok-4.1-fast,True,False,False,Valid JSON with rebus answer and reasoning engaging image and prompt.
rebus_puzzle:model=qwen_qwen3.5-plus-02-15,modal_phase1c_n50_mmext,rebus_puzzle,qwen/qwen3.5-plus-02-15,1,748,1,x-ai/grok-4.1-fast,True,False,False,Valid JSON with answer and reasoning engaging rebus puzzle image and prompt.
rebus_puzzle:model=qwen_qwen3.5-plus-02-15,modal_phase1c_n50_mmext,rebus_puzzle,qwen/qwen3.5-plus-02-15,2,811,1,x-ai/grok-4.1-fast,True,False,False,JSON response with answer and reasoning attempts to solve rebus puzzle from image.
