cell,suite,dataset,model,category,instance_idx,completion_chars,format_valid,is_complete,is_on_task,is_garbled,quality_1_5,rationale
newyorker_humor:model=google_gemini-3.1-flash-lite-preview,modal_phase1c_n50_google,newyorker_humor,google/gemini-3.1-flash-lite-preview,mcq_accuracy,0,0,False,False,False,True,0,auto: no nonempty completion in scenario_state
moh_x:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,moh_x,google/gemini-2.5-flash-lite,mcq_accuracy,0,3,True,True,True,False,,Single word 'Yes' matches expected format and answers the question directly.
moh_x:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,moh_x,google/gemini-2.5-flash-lite,mcq_accuracy,1,3,True,True,True,False,,Single word 'Yes' matches expected format and answers the question directly.
moh_x:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,moh_x,google/gemini-2.5-flash-lite,mcq_accuracy,2,3,True,True,True,False,,Single word 'Yes' matches expected format and answers the question directly.
grapheval_review_advisor:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,grapheval_review_advisor,google/gemini-2.5-flash-lite,open_reference,0,41,True,True,True,False,4,"Response follows requested format, is complete, on-task, and coherent. Score and decision align with rubric examples."
grapheval_review_advisor:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,grapheval_review_advisor,google/gemini-2.5-flash-lite,open_reference,1,32,True,True,True,False,4,"Response follows requested format, is complete, on-task, and not garbled. Score and decision are reasonable."
grapheval_review_advisor:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,grapheval_review_advisor,google/gemini-2.5-flash-lite,open_reference,2,32,True,True,True,False,4,"Response follows requested format, is complete, on-task, and not garbled. Score and decision are reasonable."
grapheval_ai_researcher:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,grapheval_ai_researcher,google/gemini-2.5-flash-lite,open_reference,0,32,True,True,True,False,5,"Response follows required format, is complete, on-task, and not garbled. High quality."
grapheval_ai_researcher:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,grapheval_ai_researcher,google/gemini-2.5-flash-lite,open_reference,1,32,True,True,True,False,5,"Response follows required format, is complete, on-task, and not garbled. High quality."
grapheval_ai_researcher:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,grapheval_ai_researcher,google/gemini-2.5-flash-lite,open_reference,2,32,True,True,True,False,5,"Response follows required format, is complete, on-task, and not garbled. High quality."
science_analogies:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,science_analogies,google/gemini-2.5-flash-lite,open_reference,0,84,True,True,True,False,3,Starts a city analogy for cells but is very brief; lacks development and detail.
science_analogies:model=google_gemini-2.5-flash-lite,modal_phase1c_n50_google,science_analogies,google/gemini-2.5-flash-lite,open_reference,1,115,True,True,True,False,4,"Clear, concise analogy comparing NADH to a rechargeable battery in a city. Fluent and on-task."
