model,dataset,dataset_z,score_source,n_score_sources,dq_masked
ai21/jamba-large-1.7,analobench,0.4791157400660885,raw,1,False
ai21/jamba-large-1.7,arn,-0.1957390627980948,raw,1,False
ai21/jamba-large-1.7,brainteaser,0.0912766652631176,raw,1,False
ai21/jamba-large-1.7,c3_crosstalk,1.0741581129719069,raw,1,False
ai21/jamba-large-1.7,chinese_homophonic_puns,0.0306102783957188,raw,1,False
ai21/jamba-large-1.7,fig_qa,2.4403472659063783,raw,1,False
ai21/jamba-large-1.7,futuregen,0.6046642460430073,raw,1,False
ai21/jamba-large-1.7,grapheval_ai_researcher,-0.1806305199982286,raw,1,False
ai21/jamba-large-1.7,grapheval_iclr,-0.1341170839160292,raw,1,False
ai21/jamba-large-1.7,grapheval_review_advisor,-0.4226098896117308,raw,1,False
ai21/jamba-large-1.7,historical_analogy,-0.6812598900447862,raw,1,False
ai21/jamba-large-1.7,humor_transfer,-1.140366331893727,raw,1,False
ai21/jamba-large-1.7,hypobench,0.3499657042604565,raw,1,False
ai21/jamba-large-1.7,lcc_metaphor,0.2283838651977821,raw,1,False
ai21/jamba-large-1.7,meta4xnli,0.6772778525705534,raw,1,False
ai21/jamba-large-1.7,metaphor_generation,1.0471486686830394,raw,1,False
ai21/jamba-large-1.7,metaphoric_analogies,-0.9178804904239646,raw,1,False
ai21/jamba-large-1.7,moh_x,-2.106133464066765,raw,1,False
ai21/jamba-large-1.7,munch,-1.8705817045893545,raw,1,False
ai21/jamba-large-1.7,newyorker_humor,0.4201282550697621,raw,1,False
ai21/jamba-large-1.7,nyt_connections,1.347347987126101,raw,1,False
ai21/jamba-large-1.7,ocw,-0.8358289891714505,raw,1,False
ai21/jamba-large-1.7,ocw_connections,0.861322597696011,raw,1,False
ai21/jamba-large-1.7,outline_to_story,1.015978018988341,raw,1,False
ai21/jamba-large-1.7,permpst,-0.0822982815918506,raw,1,False
ai21/jamba-large-1.7,poetmt,0.0134217410646874,raw,1,False
ai21/jamba-large-1.7,proparalogy,-0.1376198050636118,raw,1,False
ai21/jamba-large-1.7,puntuguese,0.0093969909880515,raw,1,False
ai21/jamba-large-1.7,riddlesense,0.2942062792350171,raw,1,False
ai21/jamba-large-1.7,scar,0.0405799460714403,raw,1,False
ai21/jamba-large-1.7,schnovel,-0.8758739019835262,raw,1,False
ai21/jamba-large-1.7,science_analogies,0.8874739423627458,raw,1,False
ai21/jamba-large-1.7,scimon,0.1284105253308765,raw,1,False
ai21/jamba-large-1.7,sdat,-2.755284511579332,raw,1,False
ai21/jamba-large-1.7,simile_generation,-0.4367076054494946,raw,1,False
ai21/jamba-large-1.7,slang_generation,0.2205734888555062,raw,1,False
ai21/jamba-large-1.7,speak_to_structure,-0.2704277675485785,raw,1,False
ai21/jamba-large-1.7,story_generation_rocstories,2.317905037096318,raw,1,False
ai21/jamba-large-1.7,story_quality,-0.8425111823307727,raw,1,False
ai21/jamba-large-1.7,ttcw,0.0123216883288685,raw,1,False
ai21/jamba-large-1.7,twistlist,1.431387430160992,raw,1,False
ai21/jamba-large-1.7,unfun_corpus,0.065743174099436,raw,1,False
allenai/olmo-3.1-32b-instruct,analobench,0.4791157400660885,raw,1,False
allenai/olmo-3.1-32b-instruct,arn,-0.0452399404704266,raw,1,False
allenai/olmo-3.1-32b-instruct,brainteaser,-0.5857908843850371,raw,1,False
allenai/olmo-3.1-32b-instruct,c3_crosstalk,0.3768309480457441,raw,1,False
allenai/olmo-3.1-32b-instruct,chinese_homophonic_puns,-0.6957773779026095,raw,1,False
allenai/olmo-3.1-32b-instruct,fig_qa,-0.569932482483443,raw,1,False
allenai/olmo-3.1-32b-instruct,futuregen,0.666724779687848,raw,1,False
allenai/olmo-3.1-32b-instruct,grapheval_ai_researcher,0.309552105734263,raw,1,False
allenai/olmo-3.1-32b-instruct,grapheval_iclr,-0.2152078988572525,raw,1,False
allenai/olmo-3.1-32b-instruct,grapheval_review_advisor,-0.0682813788839729,raw,1,False
allenai/olmo-3.1-32b-instruct,historical_analogy,0.6994190315777716,raw,1,False
allenai/olmo-3.1-32b-instruct,humor_transfer,0.8840123117064044,raw,1,False
allenai/olmo-3.1-32b-instruct,hypobench,0.3642212237745362,raw,1,False
allenai/olmo-3.1-32b-instruct,lcc_metaphor,0.6995156613113194,raw,1,False
allenai/olmo-3.1-32b-instruct,meta4xnli,0.6325442974070573,raw,1,False
allenai/olmo-3.1-32b-instruct,metaphor_generation,-0.9307953012505124,raw,1,False
allenai/olmo-3.1-32b-instruct,metaphoric_analogies,0.8299401413646955,raw,1,False
allenai/olmo-3.1-32b-instruct,moh_x,0.563920633846406,raw,1,False
allenai/olmo-3.1-32b-instruct,munch,0.1100995565241268,raw,1,False
allenai/olmo-3.1-32b-instruct,newyorker_humor,-0.1409257480547574,raw,1,False
allenai/olmo-3.1-32b-instruct,nyt_connections,-0.7847130756044183,raw,1,False
allenai/olmo-3.1-32b-instruct,ocw,-0.9948939707833324,raw,1,False
allenai/olmo-3.1-32b-instruct,ocw_connections,0.1215918829202152,raw,1,False
allenai/olmo-3.1-32b-instruct,outline_to_story,0.2871984604327734,raw,1,False
allenai/olmo-3.1-32b-instruct,permpst,0.7273206758387826,raw,1,False
allenai/olmo-3.1-32b-instruct,poetmt,-1.1827217180846186,raw,1,False
allenai/olmo-3.1-32b-instruct,proparalogy,0.8670180812138436,raw,1,False
allenai/olmo-3.1-32b-instruct,puntuguese,0.0093969909880515,raw,1,False
allenai/olmo-3.1-32b-instruct,riddlesense,-0.1445695053031664,raw,1,False
allenai/olmo-3.1-32b-instruct,scar,0.0457959160055713,raw,1,False
allenai/olmo-3.1-32b-instruct,schnovel,0.5515031974852429,raw,1,False
allenai/olmo-3.1-32b-instruct,science_analogies,0.2378759664196497,raw,1,False
allenai/olmo-3.1-32b-instruct,scimon,0.2762522033075063,raw,1,False
allenai/olmo-3.1-32b-instruct,sdat,0.4574984159973603,raw,1,False
allenai/olmo-3.1-32b-instruct,simile_generation,-0.2021368569558974,raw,1,False
allenai/olmo-3.1-32b-instruct,slang_generation,-0.1964951522451757,raw,1,False
allenai/olmo-3.1-32b-instruct,speak_to_structure,-1.5704264404566977,raw,1,False
allenai/olmo-3.1-32b-instruct,story_generation_rocstories,3.2894194301906663,raw,1,False
allenai/olmo-3.1-32b-instruct,story_quality,1.1072040060627637,raw,1,False
allenai/olmo-3.1-32b-instruct,ttcw,-0.6972491948206537,raw,1,False
allenai/olmo-3.1-32b-instruct,twistlist,0.3442295886358408,raw,1,False
