dataset,model,n_audited,on_task_rate,garbled_rate,cannot_eval_rate,mean_chars
aidanbench,ai21/jamba-large-1.7,3,1.0,0.0,0.0,101.33333333333333
aidanbench,allenai/olmo-3.1-32b-instruct,3,1.0,0.0,0.0,268.0
aidanbench,amazon/nova-2-lite-v1,3,1.0,0.0,0.0,626.3333333333334
aidanbench,amazon/nova-lite-v1,3,1.0,0.0,0.0,118.0
aidanbench,amazon/nova-micro-v1,3,1.0,0.0,0.0,163.66666666666666
aidanbench,amazon/nova-pro-v1,3,1.0,0.0,0.0,131.66666666666666
aidanbench,anthropic/claude-3.7-sonnet,3,1.0,0.0,0.0,343.0
aidanbench,anthropic/claude-haiku-4.5,3,1.0,0.0,0.0,528.3333333333334
aidanbench,anthropic/claude-opus-4.5,3,1.0,0.0,0.0,298.0
aidanbench,anthropic/claude-opus-4.6,3,1.0,0.0,0.0,460.6666666666667
aidanbench,anthropic/claude-opus-4.6-fast,3,1.0,0.0,0.0,549.0
aidanbench,anthropic/claude-opus-4.7,3,1.0,0.0,0.0,630.0
aidanbench,anthropic/claude-sonnet-4,3,1.0,0.0,0.0,366.3333333333333
aidanbench,anthropic/claude-sonnet-4.5,3,1.0,0.0,0.0,282.6666666666667
aidanbench,anthropic/claude-sonnet-4.6,3,1.0,0.0,0.0,535.6666666666666
aidanbench,arcee-ai/trinity-large-preview,3,1.0,0.0,0.0,225.66666666666666
aidanbench,baidu/ernie-4.5-300b-a47b,3,1.0,0.0,0.0,303.6666666666667
aidanbench,baidu/ernie-4.5-vl-424b-a47b,3,1.0,0.0,0.0,245.33333333333334
aidanbench,deepcogito/cogito-v2.1-671b,3,1.0,0.0,0.0,330.6666666666667
aidanbench,deepseek/deepseek-chat,3,1.0,0.0,0.0,228.33333333333334
aidanbench,deepseek/deepseek-chat-v3-0324,3,1.0,0.0,0.0,254.66666666666666
aidanbench,deepseek/deepseek-chat-v3.1,3,1.0,0.0,0.0,335.6666666666667
aidanbench,deepseek/deepseek-v3.1-terminus,3,1.0,0.0,0.0,270.6666666666667
aidanbench,deepseek/deepseek-v3.2,3,1.0,0.0,0.0,289.3333333333333
aidanbench,deepseek/deepseek-v3.2-exp,3,1.0,0.0,0.0,225.0
aidanbench,google/gemini-2.5-flash,3,1.0,0.0,0.0,332.6666666666667
aidanbench,google/gemma-2-27b-it,3,1.0,0.0,0.0,180.33333333333334
aidanbench,google/gemma-3-12b-it,3,1.0,0.0,0.0,277.0
aidanbench,google/gemma-3-27b-it,3,1.0,0.0,0.0,368.0
aidanbench,google/gemma-3-4b-it,3,1.0,0.0,0.0,335.6666666666667
aidanbench,google/gemma-4-26b-a4b-it,3,1.0,0.0,0.0,149.0
aidanbench,google/gemma-4-31b-it,3,1.0,0.0,0.0,301.0
aidanbench,ibm-granite/granite-4.0-h-micro,3,1.0,0.0,0.0,380.0
aidanbench,meta-llama/llama-3-8b-instruct,3,1.0,0.0,0.0,1235.0
aidanbench,meta-llama/llama-3.1-70b-instruct,3,1.0,0.0,0.0,332.0
aidanbench,meta-llama/llama-3.1-8b-instruct,3,1.0,0.0,0.0,864.3333333333334
aidanbench,meta-llama/llama-3.2-11b-vision-instruct,3,1.0,0.0,0.0,1214.3333333333333
aidanbench,meta-llama/llama-3.2-3b-instruct,3,1.0,0.0,0.0,956.3333333333334
aidanbench,meta-llama/llama-3.3-70b-instruct,3,1.0,0.0,0.0,257.6666666666667
aidanbench,meta-llama/llama-4-maverick,3,1.0,0.0,0.0,576.6666666666666
aidanbench,meta-llama/llama-4-scout,3,1.0,0.0,0.0,418.6666666666667
aidanbench,minimax/minimax-01,3,1.0,0.0,0.0,284.3333333333333
aidanbench,minimax/minimax-m2-her,3,1.0,0.3333333333333333,0.0,737.0
aidanbench,mistralai/ministral-8b-2512,3,1.0,0.0,0.0,361.3333333333333
aidanbench,mistralai/mistral-large-2512,3,1.0,0.0,0.0,319.0
aidanbench,mistralai/mistral-medium-3.1,3,1.0,0.0,0.0,429.6666666666667
aidanbench,mistralai/mistral-nemo,3,1.0,0.0,0.0,131.33333333333334
aidanbench,mistralai/mistral-small-3.1-24b-instruct,3,1.0,0.0,0.0,276.3333333333333
aidanbench,mistralai/mixtral-8x22b-instruct,3,1.0,0.0,0.0,326.3333333333333
aidanbench,mistralai/pixtral-large-2411,3,1.0,0.0,0.0,285.0
aidanbench,moonshotai/kimi-k2-0905,3,1.0,0.0,0.0,273.3333333333333
